term,inDocumentsCount,rawFreq,relativeFreq,comparisonRelativeFreqDifference,relativePeakedness,relativeSkewness,distributions/0
crédit,1,108,0.007838584,0,,,0.007838584
prêt,1,93,0.006749891,0,,,0.006749891
banque,1,92,0.006677312,0,,,0.006677312
banques,1,82,0.005951517,0,,,0.005951517
taux,1,79,0.0057337787,0,,,0.0057337787
immobilier,1,76,0.00551604,0,,,0.00551604
revenus,1,76,0.00551604,0,,,0.00551604
personnel,1,53,0.0038467122,0,,,0.0038467122
dossier,1,51,0.0037015532,0,,,0.0037015532
apport,1,46,0.003338656,0,,,0.003338656
profil,1,45,0.0032660763,0,,,0.0032660763
d’un,1,44,0.003193497,0,,,0.003193497
capacité,1,39,0.0028305994,0,,,0.0028305994
bon,1,37,0.0026854405,0,,,0.0026854405
risque,1,37,0.0026854405,0,,,0.0026854405
d’endettement,1,36,0.002612861,0,,,0.002612861
situation,1,36,0.002612861,0,,,0.002612861
cas,1,35,0.0025402815,0,,,0.0025402815
conditions,1,35,0.0025402815,0,,,0.0025402815
emprunteur,1,35,0.0025402815,0,,,0.0025402815
projet,1,35,0.0025402815,0,,,0.0025402815
reste,1,34,0.0024677021,0,,,0.0024677021
c’est,1,33,0.0023951225,0,,,0.0023951225
banquier,1,32,0.0023225432,0,,,0.0023225432
montant,1,32,0.0023225432,0,,,0.0023225432
demande,1,31,0.0022499638,0,,,0.0022499638
peut,1,31,0.0022499638,0,,,0.0022499638
vivre,1,31,0.0022499638,0,,,0.0022499638
durée,1,29,0.0021048049,0,,,0.0021048049
professionnelle,1,29,0.0021048049,0,,,0.0021048049
ans,1,28,0.0020322253,0,,,0.0020322253
compte,1,28,0.0020322253,0,,,0.0020322253
mois,1,28,0.0020322253,0,,,0.0020322253
33,1,26,0.0018870663,0,,,0.0018870663
faire,1,26,0.0018870663,0,,,0.0018870663
financement,1,26,0.0018870663,0,,,0.0018870663
frais,1,25,0.0018144868,0,,,0.0018144868
l’emprunteur,1,25,0.0018144868,0,,,0.0018144868
avoir,1,23,0.001669328,0,,,0.001669328
comptes,1,23,0.001669328,0,,,0.001669328
également,1,23,0.001669328,0,,,0.001669328
cdi,1,22,0.0015967485,0,,,0.0015967485
crédits,1,21,0.001524169,0,,,0.001524169
effet,1,21,0.001524169,0,,,0.001524169
critères,1,20,0.0014515895,0,,,0.0014515895
exemple,1,20,0.0014515895,0,,,0.0014515895
prêteurs,1,20,0.0014515895,0,,,0.0014515895
rembourser,1,20,0.0014515895,0,,,0.0014515895
10,1,19,0.00137901,0,,,0.00137901
doit,1,19,0.00137901,0,,,0.00137901
remboursement,1,19,0.00137901,0,,,0.00137901
d’une,1,18,0.0013064306,0,,,0.0013064306
établissements,1,18,0.0013064306,0,,,0.0013064306
prêts,1,18,0.0013064306,0,,,0.0013064306
qu’il,1,18,0.0013064306,0,,,0.0013064306
va,1,18,0.0013064306,0,,,0.0013064306
pourra,1,17,0.0012338511,0,,,0.0012338511
000,1,16,0.0011612716,0,,,0.0011612716
ainsi,1,16,0.0011612716,0,,,0.0011612716
bancaires,1,16,0.0011612716,0,,,0.0011612716
charges,1,16,0.0011612716,0,,,0.0011612716
confiance,1,16,0.0011612716,0,,,0.0011612716
d’épargne,1,16,0.0011612716,0,,,0.0011612716
épargne,1,16,0.0011612716,0,,,0.0011612716
part,1,16,0.0011612716,0,,,0.0011612716
prêteur,1,16,0.0011612716,0,,,0.0011612716
travaux,1,16,0.0011612716,0,,,0.0011612716
